DESTINO INGRESOS,CÓDIGO DE INGRESOS,TIPO DE INGRESOS,VALOR DE INGRESOS,AÑO,Índice,indice_2024,valor_ingresos_pc
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,101693146636000,2013,78.05,53.69900486559081,189376221944036.12
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,518854000000,2013,78.05,53.69900486559081,966226471605.3812
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,5000000000000,2013,78.05,53.69900486559081,9311159513132.607
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,13321969220537,2013,78.05,53.69900486559081,24808596088292.574
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,531858480719,2013,78.05,53.69900486559081,990443830477.3945
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,5400000000000,2013,78.05,53.69900486559081,10056052274183.217
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,28008000000000,2013,78.05,53.69900486559081,52157391128763.62
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,7872874645367,2013,78.05,53.69900486559081,14661118329981.889
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,317488885335,2013,78.05,53.69900486559081,591237931000.1705
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,172714187030,2013,78.05,53.69900486559081,321633869123.4698
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,1211443724583,2013,78.05,53.69900486559081,2255989152155.1597
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,7131567759851,2013,78.05,53.69900486559081,13280632998137.287
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,14344716178214,2013,78.05,53.69900486559081,26713188101192.902
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,102131545000000,2014,79.56,54.737896567666944,186582882069180.47
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,559895000000,2014,79.56,54.737896567666944,1022865391452.9913
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,13591131876227,2014,79.56,54.737896567666944,24829474145806.195
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,897015476169,2014,79.56,54.737896567666944,1638746704598.1758
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,9295334207774,2014,79.56,54.737896567666944,16981533435949.836
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,30500000000000,2014,79.56,54.737896567666944,55720080442433.375
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,7225980122859,2014,79.56,54.737896567666944,13201055531840.266
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,520898634553,2014,79.56,54.737896567666944,951623403922.8481
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,238669900896,2014,79.56,54.737896567666944,436023150069.2696
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,1289072421732,2014,79.56,54.737896567666944,2354990788033.7524
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,21766888689764,2014,79.56,54.737896567666944,39765665205742.41
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,11838116191561,2014,79.56,54.737896567666944,21626911032152.523
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,102167860000000,2015,82.47,56.73999911935009,180063203358700.1
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,920940000000,2015,82.47,56.73999911935009,1623087793961.4402
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,9551650648486,2015,82.47,56.73999911935009,16834069081309.86
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,918661018786,2015,82.47,56.73999911935009,1619071260212.1072
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,9975090000000,2015,82.47,56.73999911935009,17580349233030.19
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,34477000000000,2015,82.47,56.73999911935009,60763131010064.25
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,10058472943932,2015,82.47,56.73999911935009,17727305428353.01
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,658988684862,2015,82.47,56.73999911935009,1161418214822.0452
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,190225357682,2015,82.47,56.73999911935009,335257949655.3557
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,1368187459056,2015,82.47,56.73999911935009,2411327952575.5327
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,20527284260938,2015,82.47,56.73999911935009,36177801514870.945
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,12843703056566,2015,82.47,56.73999911935009,22636064955781.61
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,118182117000000,2016,88.05,60.57908236278374,195087334423877.34
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,514371000000,2016,88.05,60.57908236278374,849090114834.753
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,3638698840912,2016,88.05,60.57908236278374,6006526838952.921
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,504634080000,2016,88.05,60.57908236278374,833017042050.8348
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,15010000000000,2016,88.05,60.57908236278374,24777529494605.34
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,31042000000000,2016,88.05,60.57908236278374,51242109964792.734
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,11749028660422,2016,88.05,60.57908236278374,19394530590710.832
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,704563260000,2016,88.05,60.57908236278374,1163047098965.0427
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,202189791834,2016,88.05,60.57908236278374,333761727559.96326
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,1559218832671,2016,88.05,60.57908236278374,2573856803134.5645
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,18703443427251,2016,88.05,60.57908236278374,30874425127874.35
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,14104097073019,2016,88.05,60.57908236278374,23282123998767.83
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,118574544000000,2017,93.11,64.06040157636336,185098034171161.0
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,721929000000,2017,93.11,64.06040157636336,1126950475231.4468
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,648600000000,2017,93.11,64.06040157636336,1012481945226.0767
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,1098012920396,2017,93.11,64.06040157636336,1714027532417.3718
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,847000000000,2017,93.11,64.06040157636336,1322189650950.4888
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,18199415032253,2017,93.11,64.06040157636336,28409773564341.996
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,33442000000000,2017,93.11,64.06040157636336,52203856324777.14
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,15178689699772,2017,93.11,64.06040157636336,23694340538402.973
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,446789003563,2017,93.11,64.06040157636336,697449582844.722
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,200801065981,2017,93.11,64.06040157636336,313455833931.4102
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,1660311220533,2017,93.11,64.06040157636336,2591790216228.6978
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,18980957501423,2017,93.11,64.06040157636336,29629782259164.742
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,14422622868776,2017,93.11,64.06040157636336,22514099996053.688
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,139248016000000,2018,96.92,66.68171110279387,208824899207131.62
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,739862000000,2018,96.92,66.68171110279387,1109542613355.3445
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,2988640062898,2018,96.92,66.68171110279387,4481948668489.973
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,1930902079303,2018,96.92,66.68171110279387,2895699656426.63
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,11720000000000,2018,96.92,66.68171110279387,17576033677259.592
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,39000000000000,2018,96.92,66.68171110279387,58486801485761.445
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,11844315219052,2018,96.92,66.68171110279387,17762464434653.266
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,567546743503,2018,96.92,66.68171110279387,851128044132.0597
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,201117820542,2018,96.92,66.68171110279387,301608667827.92175
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,1933745679865,2018,96.92,66.68171110279387,2899964094928.54
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,11372146375984,2018,96.92,66.68171110279387,17054370963056.35
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,14007514748714,2018,96.92,66.68171110279387,21006531651715.676
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,144774580000000,2019,100.0,68.80077497192929,210425798341759.97
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,71881934449246,2019,100.0,68.80077497192929,104478379027814.47
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,2085384000000,2019,100.0,68.80077497192929,3031047253247.9995
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,11075690159323,2019,100.0,68.80077497192929,16098205527251.518
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,15179716601358,2019,100.0,68.80077497192929,22063293048009.01
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,159366960000000,2020,103.8,71.41520442086261,223155504898959.5
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,81265594647948,2020,103.8,71.41520442086261,113793127537709.3
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,2246823131586,2020,103.8,71.41520442086261,3146141147121.9326
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,12351401246435,2020,103.8,71.41520442086261,17295198335701.705
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,16483215685772,2020,103.8,71.41520442086261,23080821261300.96
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,154245594000000,2021,105.48,72.57105744039102,212544228291968.12
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,124133511278743,2021,105.48,72.57105744039102,171050988723300.28
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,2416062836363,2021,105.48,72.57105744039102,3329237469562.194
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,14879512860741,2021,105.48,72.57105744039102,20503370607439.27
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,18323333069004,2021,105.48,72.57105744039102,25248816422517.42
I - INGRESOS DEL PRESUPUESTO NACIONAL,1.0,INGRESOS CORRIENTES DE LA NACIÓN,170851972000000,2022,111.41,76.65094339622642,222896111163076.9
I - INGRESOS DEL PRESUPUESTO NACIONAL,2.0,RECURSOS DE CAPITAL DE LA NACIÓN,146727236567694,2022,111.41,76.65094339622642,191422610168314.62
I - INGRESOS DEL PRESUPUESTO NACIONAL,5.0,PARAFISCALES,2434904976821,2022,111.41,76.65094339622642,3176614492837.2427
I - INGRESOS DEL PRESUPUESTO NACIONAL,6.0,FONDOS ESPECIALES DE LA NACIÓN,12010303927302,2022,111.41,76.65094339622642,15668827277464.762
II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,18373104288563,2022,111.41,76.65094339622642,23969834518002.188
